nombre,cantidad_caracteres_nombre,tiene_foto_perfil,cantidad_seguidores,cantidad_seguidos,promedio_publicaciones,perfil_privado,dia_mas_publica,comenta_publicaciones,clase
Ruthv___,8,Sí,43,46,4.440397350993377,Sí,Sábado,Sí,Real
TitoVilla1982,13,Sí,263354,521,2.4351761252446185,No,Ninguno,Sí,Real
cordova_sports,14,Sí,86264,1556,17.5213369770864,No,Sábado,Sí,Real
msiendomeri,11,Sí,180,217,3.8530020703933747,No,Miércoles,Sí,Real
Bere_niceray,12,Sí,11105,292,1.119485294117647,No,Viernes,Sí,Real
rafapuente_espn,15,Sí,569290,92,0.7692307692307693,No,Ninguno,Sí,Real
LlanoEly,8,Sí,8770,8650,44.33374536464771,No,Ninguno,Sí,Real
koyel10,7,Sí,29368,2444,15.660706773243584,No,Ninguno,Sí,Real
LlanoEly,8,Sí,8770,8650,44.33374536464771,No,Miércoles,Sí,Real
Jennifeermz,11,Sí,34,85,0.34581105169340465,No,Viernes,Sí,Real
daemoon_targary,15,Sí,1172,1182,39.09615384615385,No,Miércoles,Sí,Real
la_reinota_,11,Sí,71098,573,5.112558139534884,No,Miércoles,Sí,Real
pametorres1998,14,Sí,240,537,1.6814953271028037,No,Miércoles,Sí,Real
AG_26,5,Sí,19617,115,0.06018518518518518,No,Ninguno,Sí,Real
ulisesurrutiac,14,Sí,280,1015,0.6639015252876639,No,Domingo,Sí,Real
Caminoalandar2,14,Sí,2131,113,3.8146067415730336,No,Jueves,Sí,Real
yarelinceballos,15,Sí,64,91,0.565359477124183,No,Sábado,Sí,Real
Anibaljrlv00,12,Sí,64,300,2.1161290322580646,No,Miércoles,Sí,Real
futpicante,10,Sí,2074966,175,53.50822368421053,No,Ninguno,Sí,Real
duvikah,7,Sí,1694,1587,10.730066122131467,No,Miércoles,Sí,Real
cordova_sports,14,Sí,86264,1556,17.5213369770864,No,Ninguno,Sí,Real
msiendomeri,11,Sí,181,217,3.813664596273292,No,Jueves,Sí,Real
Ryan2000LDG,11,Sí,7715,7994,21.04869565217391,No,Jueves,Sí,Real
Anghm_20,8,Sí,75,124,0.5611814345991561,No,Miércoles,Sí,Real
_pinchechicharo,15,Sí,49425,325,39.46840659340659,No,Martes,Sí,Real
puig_ricardo,12,Sí,104841,759,9.642750373692078,No,Ninguno,Sí,Real
joserra_espn,12,Sí,3725107,296,5.8889814621953755,No,Ninguno,Sí,Real
daemoon_targary,15,Sí,1172,1182,39.09615384615385,No,Ninguno,Sí,Real
Faitelson_ESPN,14,Sí,4080537,1715,16.69064901793339,No,Miércoles,Sí,Real
kainatodes,10,Sí,562,460,6.167481348083355,No,Miércoles,Sí,Real
Mariaaaaan_cs,13,Sí,89,82,3.0158227848101267,No,Ninguno,Sí,Real
emilol880,9,Sí,72,72,3.631818181818182,No,Miércoles,Sí,Real
Alejand04527411,15,Sí,1,21,0.0021551724137931034,Sí,Ninguno,Sí,Real
alexita_ret,11,Sí,113,76,1.590625,No,Miércoles,Sí,Real
echemariana,11,Sí,155,298,0.695898161244696,No,Viernes,Sí,Real
Littt_so,8,Sí,17,25,0.06796116504854369,Sí,Ninguno,Sí,Real
CD_Cedoz,8,Sí,1426,210,0.9406034687574246,No,Lunes,Sí,Real
AndreGiovanniB,14,Sí,898,596,4.017338217338217,No,Martes,Sí,Real
jonatansinh21,13,Sí,3395,768,11.90427314620863,No,Miércoles,Sí,Real
rodriguezcheri,14,Sí,1662,5006,35.32217247420674,No,Ninguno,Sí,Real
_pinchechicharo,15,Sí,49425,325,39.46840659340659,No,Ninguno,Sí,Real
MarianSsanchez_,15,Sí,35,187,0.22563025210084034,No,Ninguno,Sí,Real
alonsoocruzz,12,Sí,73,154,1.2682563338301043,No,Ninguno,Sí,Real
Jhov_rb,7,Sí,113,163,0.8378923121220847,Sí,Domingo,Sí,Real
JesusBorroel,12,Sí,260,311,3.8623595505617976,No,Domingo,Sí,Real
Armand_Mel91,12,Sí,23192,767,1.445583780004661,No,Ninguno,Sí,Real
PePeSoyYo13,11,Sí,1857,1860,260.68831168831167,No,Martes,Sí,Real
Alonso_osoo,11,Sí,33,408,1.0515567458988953,No,Domingo,Sí,Real
JAntonioDomingz,15,Sí,27122,1466,1.3847241867043847,No,Sábado,Sí,Real
MissRavenPliss,14,Sí,5041,1187,11.613725896744764,No,Martes,Sí,Real
Anghm_20,8,Sí,75,124,0.5611814345991561,No,Ninguno,Sí,Real
JNT3D,5,Sí,10302,588,11.596631397106457,No,Miércoles,Sí,Real
sofiaaa_diazzz,14,Sí,1402,332,1.1182495344506518,No,Sábado,Sí,Real
karlaadoor,10,Sí,131,107,1.1757425742574257,No,Jueves,Sí,Real
